# numeff, colvar, npoints 
315 135.5 142 
316 136.5 165 
317 137.5 164 
318 138.5 175 
319 139.5 161 
320 140.5 159 
321 141.5 160 
322 142.5 143 
323 143.5 142 
324 144.5 152 
325 145.5 161 
326 146.5 172 
327 147.5 162 
328 148.5 172 
329 149.5 183 
330 150.5 166 
331 151.5 176 
332 152.5 171 
333 153.5 178 
334 154.5 187 
335 155.5 185 
336 156.5 169 
337 157.5 176 
338 158.5 181 
339 159.5 144 
340 160.5 170 
341 161.5 177 
342 162.5 176 
343 163.5 193 
344 164.5 191 
345 165.5 188 
346 166.5 161 
347 167.5 181 
348 168.5 179 
349 169.5 174 
350 170.5 193 
351 171.5 183 
352 172.5 194 
353 173.5 173 
354 174.5 197 
355 175.5 148 
356 176.5 183 
357 177.5 202 
358 178.5 205 
359 179.5 189 
