# colvars, pathstate, free energy, deltaF 
-1.505346479845208 2.77071018754118 11109  0.0   0.0  
-1.505346479845208 2.8143434188410414 11208 0.04434567423974825 -0.04434567423974825 
-1.5489797111450694 2.8143434188410414 11207 0.08936371177013144 -0.04501803753038319 
-1.5489797111450694 2.8579766501409027 11306 0.18314085112001002 -0.09377713934987858 
-1.5926129424449305 2.8579766501409027 11305 0.15346855030340945 0.02967230081660058 
-1.5926129424449305 2.9016098814407636 11407 0.1577305247967505 -0.0042619744933410615 
-1.5926129424449305 2.945243112740625 11504 0.18515351488983298 -0.02742299009308246 
-1.5926129424449305 2.9888763440404857 11604 0.24952675308355596 -0.06437323819372298 
-1.5926129424449305 3.032509575340347 11698 0.448500384184257 -0.198973631100701 
-1.6362461737447915 3.032509575340347 11697 0.6158175693751197 -0.16731718519086272 
-1.6362461737447915 3.076142806640208 11791 0.7261424297522527 -0.11032486037713307 
-1.6362461737447915 3.119776037940069 11889 0.8713036982284996 -0.1451612684762469 
-1.6798794050446528 3.119776037940069 11888 1.006510526020455 -0.13520682779195545 
-1.6798794050446528 -3.1197760379400696 33 1.2458866224834322 -0.23937609646297717 
-1.6798794050446528 -3.0761428066402083 131 1.4768755082079743 -0.23098888572454204 
-1.6798794050446528 -3.032509575340347 227 1.6768055013999048 -0.19992999319193056 
-1.6798794050446528 -2.988876344040486 325 1.9015057888655902 -0.22470028746568543 
-1.6798794050446528 -2.945243112740625 418 2.1624744172908716 -0.2609686284252815 
-1.6798794050446528 -2.901609881440764 516 2.428185318697888 -0.26571090140701636 
-1.6798794050446528 -2.8579766501409027 616 2.6601594449417623 -0.2319741262438741 
-1.6798794050446528 -2.814343418841042 716 2.8547579724178034 -0.1945985274760413 
-1.6798794050446528 -2.7707101875411806 818 3.026163115824202 -0.1714051434063989 
-1.6798794050446528 -2.7270769562413193 919 3.182586173841875 -0.15642305801767276 
-1.6798794050446528 -2.6834437249414584 1020 3.2363339085743927 -0.053747734732518135 
-1.6798794050446528 -2.639810493641597 1125 3.164960422925975 0.07137348564841779 
-1.6798794050446528 -2.5961772623417363 1233 3.110571634014041 0.05438878891193371 
-1.6798794050446528 -2.552544031041875 1336 3.1089459031918643 0.0016257308221767437 
-1.7235126363445137 -2.552544031041875 1335 3.1477131395428013 -0.03876723635093685 
-1.7235126363445137 -2.508910799742014 1440 3.1518696732149607 -0.004156533672159402 
-1.7235126363445137 -2.465277568442153 1547 3.299505625775299 -0.14763595256033835 
-1.7235126363445137 -2.4216443371422915 1657 3.399826889226282 -0.10032126345098312 
-1.7235126363445137 -2.3780111058424307 1764 3.2685680658867 0.13125882333958222 
-1.7235126363445137 -2.3343778745425694 1876 3.0109739580375017 0.25759410784919806 
-1.7235126363445137 -2.2907446432427085 1986 2.8350856322106175 0.17588832582688402 
-1.7235126363445137 -2.2471114119428472 2098 2.830822571037641 0.004263061172976267 
-1.6798794050446528 -2.2471114119428472 2099 2.816363493316397 0.014459077721244124 
-1.6798794050446528 -2.203478180642986 2217 2.861452414141699 -0.04508892082530183 
-1.6798794050446528 -2.159844949343125 2331 2.8261473851405854 0.0353050290011135 
-1.6798794050446528 -2.116211718043264 2451 2.671876023821162 0.1542713613194235 
-1.6798794050446528 -2.072578486743403 2570 2.588496684336179 0.0833793394849831 
-1.7235126363445137 -2.072578486743403 2569 2.5746928958610784 0.013803788475100519 
-1.7235126363445137 -2.0289452554435417 2694 2.5852523508022345 -0.010559454941155946 
-1.7235126363445137 -1.9853120241436806 2816 2.4811539628817245 0.10409838792051011 
-1.7235126363445137 -1.9416787928438193 2942 2.2178545382138317 0.2632994246678928 
-1.7235126363445137 -1.8980455615439582 3069 2.0566308053729916 0.16122373284084004 
-1.7235126363445137 -1.8544123302440974 3201 2.0551738735875666 0.001456931785424812 
-1.7235126363445137 -1.810779098944236 3332 1.991526702032934 0.06364717155463283 
-1.7235126363445137 -1.7671458676443748 3463 1.8201479207771232 0.17137878125581069 
-1.6798794050446528 -1.7671458676443748 3464 1.6776508412741638 0.14249707950295948 
-1.6798794050446528 -1.7235126363445137 3600 1.496224393971677 0.1814264473024866 
-1.6362461737447915 -1.7235126363445137 3601 1.3764046988686431 0.11981969510303386 
-1.6362461737447915 -1.6798794050446528 3739 1.193511345046921 0.18289335382172206 
-1.6362461737447915 -1.6362461737447915 3881 1.1056476735664846 0.0878636714804363 
-1.5926129424449305 -1.6362461737447915 3882 0.9542499020245354 0.15139777154194928 
-1.5926129424449305 -1.5926129424449305 4026 0.7775175210471812 0.17673238097735416 
-1.5926129424449305 -1.5489797111450694 4169 0.709447294609486 0.06807022643769527 
